lat	lon
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.749167	-81.134167
-3.986	-81.308667
-3.986	-81.308667
-3.986	-81.308667
-3.986	-81.308667
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
36.14333	-2.62167
38.26167	14.03
38.41167	13.57667
38.41167	13.57667
38.41167	13.57667
38.41167	13.57667
38.41167	13.57667
38.41167	13.57667
36.38	-7.07667
36.38	-7.07667
36.38	-7.07667
36.38	-7.07667
36.38	-7.07667
36.38	-7.07667
-36.73333	136.55
-36.73333	136.55
-36.73333	136.55
-36.73333	136.55
-36.73333	136.55
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.43333	-24.08333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.37416667	-143.5988333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
61.9	-145.6833333
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
66.06666667	-145.4
60.71666667	-150.8
60.71666667	-150.8
60.71666667	-150.8
60.71666667	-150.8
19.45	116.2666667
-56.66666667	160.2333333
-56.66666667	160.2333333
-56.66666667	160.2333333
-56.66666667	160.2333333
-66.77	112.807
-66.77	112.807
-1.85	-82.78666667
-1.85	-82.78666667
-1.85	-82.78666667
-1.85	-82.78666667
-1.85	-82.78666667
7.855833333	-83.60833333
7.855833333	-83.60833333
7.855833333	-83.60833333
2.258333333	-90.95166667
2.258333333	-90.95166667
0.515	-92.39833333
0.515	-92.39833333
0.515	-92.39833333
-3.618666667	-83.97066667
-3.618666667	-83.97066667
-3.618666667	-83.97066667
-3.618666667	-83.97066667
0.021666667	-86.463
0.021666667	-86.463
0.021666667	-86.463
0.021666667	-86.463
-1.853333333	-82.78666667
-1.853333333	-82.78666667
-1.853333333	-82.78666667
-1.853333333	-82.78666667
-1.853333333	-82.78666667
2.258333333	-90.95166667
-3.618666667	-83.97066667
-3.618666667	-83.97066667
-3.618666667	-83.97066667
-3.618666667	-83.97066667
0.021667	-86.463
0.021667	-86.463
0.021667	-86.463
-1.8533	-82.7867
-1.8533	-82.7867
-1.8533	-82.7867
-1.8533	-82.7867
-1.8533	-82.7867
7.85583	-83.60833
7.85583	-83.60833
7.85583	-83.60833
7.85583	-83.60833
5.5572	172.3443
-34.71	17.338333
-34.71	17.338333
-34.71	17.338333
-34.71	17.338333
-0.672	-82.081
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
-25.51389	13.02778
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
42.98883333	10.89716667
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
-9.00991	120.01528
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
46.31667	152.5333
49.36667	153.0167
49.36667	153.0167
49.36667	153.0167
49.36667	153.0167
49.36667	153.0167
49.36667	153.0167
49.36667	153.0167
40	165.0667
40	165.0667
37.75	162.7167
44.78333	170.1667
44.78333	170.1667
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
44.5275	145.0042
22.98389	-109.4667
22.98389	-109.4667
22.98389	-109.4667
32.28278	-118.3836
32.28278	-118.3836
32.28278	-118.3836
41.00083	-126.4336
-1.3902	-11.7392
-3.095783333	-90.81798333
19.4567	116.2729167
-1.3902	-11.7392
-3.095783333	-90.81798333
19.4567	116.2729167
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
37.8815	-10.1762
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
36.8112	100.137
-42.18333	94.883333
-42.18333	94.883333
50	-23.73333333
50	-23.73333333
37.05833333	134.71
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
36.02	141.78
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
66.55	-17.42
-11.29389	34.43722
-11.29389	34.43722
-11.29389	34.43722
-11.29389	34.43722
-11.29389	34.43722
-11.29389	34.43722
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
-78.47	106.8
